"filename", "language", "Python", "Groovy", "YAML", "XML", "pip requirements", "Markdown", "Docker", "CSS", "Ini", "Shell Script", "XSL", "comment", "blank", "total"
"f:\C\V6\scenario_runner\srunner\autoagents\sensor_interface.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 33, 166
"f:\C\V6\scenario_runner\srunner\data\routes_debug.xml", "XML", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 2, 93
"f:\C\V6\scenario_runner\srunner\data\routes_devtest.xml", "XML", 0, 0, 0, 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1060
"f:\C\V6\scenario_runner\srunner\data\routes_training.xml", "XML", 0, 0, 0, 1923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1923
"f:\C\V6\scenario_runner\srunner\examples\ChangeLane.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"f:\C\V6\scenario_runner\srunner\examples\ControlLoss.xml", "XML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"f:\C\V6\scenario_runner\srunner\examples\CutIn.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"f:\C\V6\scenario_runner\srunner\examples\FollowLeadingVehicle.xml", "XML", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"f:\C\V6\scenario_runner\srunner\examples\FreeRide.xml", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\C\V6\scenario_runner\srunner\examples\LeadingVehicle.xml", "XML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"f:\C\V6\scenario_runner\srunner\examples\NoSignalJunction.xml", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\C\V6\scenario_runner\srunner\examples\ObjectCrossing.xml", "XML", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"f:\C\V6\scenario_runner\srunner\examples\OppositeDirection.xml", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"f:\C\V6\scenario_runner\srunner\examples\RunningRedLight.xml", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"f:\C\V6\scenario_runner\srunner\examples\SignalizedJunctionLeftTurn.xml", "XML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"f:\C\V6\scenario_runner\srunner\examples\SignalizedJunctionRightTurn.xml", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"f:\C\V6\scenario_runner\srunner\examples\VehicleTurning.xml", "XML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"f:\C\V6\scenario_runner\srunner\metrics\examples\basic_metric.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 43
"f:\C\V6\scenario_runner\srunner\metrics\examples\criteria_filter.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 47
"f:\C\V6\scenario_runner\srunner\metrics\examples\distance_between_vehicles.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 70
"f:\C\V6\scenario_runner\srunner\metrics\examples\distance_to_lane_center.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 18, 69
"f:\C\V6\scenario_runner\srunner\metrics\tools\metrics_log.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 83, 429
"f:\C\V6\scenario_runner\srunner\metrics\tools\metrics_parser.py", "Python", 378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 116, 541
"f:\C\V6\scenario_runner\srunner\openscenario\0.9.x\OpenSCENARIO_Catalog.xsd", "XML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"f:\C\V6\scenario_runner\srunner\openscenario\0.9.x\OpenSCENARIO_TypeDefs.xsd", "XML", 0, 0, 0, 1394, 0, 0, 0, 0, 0, 0, 0, 3, 61, 1458
"f:\C\V6\scenario_runner\srunner\openscenario\0.9.x\OpenSCENARIO_v0.9.1.xsd", "XML", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 6, 219
"f:\C\V6\scenario_runner\srunner\openscenario\0.9.x\migration0_9_1to1_0.xslt", "XSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3644, 7, 28, 3679
"f:\C\V6\scenario_runner\srunner\openscenario\OpenSCENARIO.xsd", "XML", 0, 0, 0, 1494, 0, 0, 0, 0, 0, 0, 0, 12, 1, 1507
"f:\C\V6\scenario_runner\srunner\scenarioconfigs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\scenarioconfigs\openscenario_configuration.py", "Python", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 79, 433
"f:\C\V6\scenario_runner\srunner\scenarioconfigs\route_scenario_configuration.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 51
"f:\C\V6\scenario_runner\srunner\scenarioconfigs\scenario_configuration.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 87
"f:\C\V6\scenario_runner\srunner\scenariomanager\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\actor_control.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 26, 183
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\basic_control.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 15, 119
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\carla_autopilot.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 11, 51
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\external_control.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 44
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\npc_vehicle_control.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 30, 142
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\pedestrian_control.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 16, 78
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\simple_vehicle_control.py", "Python", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 47, 346
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\vehicle_longitudinal_control.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 16, 74
"f:\C\V6\scenario_runner\srunner\scenariomanager\actorcontrols\visualizer.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 21, 131
"f:\C\V6\scenario_runner\srunner\scenariomanager\carla_data_provider.py", "Python", 509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 127, 829
"f:\C\V6\scenario_runner\srunner\scenariomanager\result_writer.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 43, 291
"f:\C\V6\scenario_runner\srunner\scenariomanager\scenario_manager.py", "Python", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 56, 248
"f:\C\V6\scenario_runner\srunner\scenariomanager\scenarioatomics\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\scenariomanager\scenarioatomics\atomic_behaviors.py", "Python", 1620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1143, 658, 3421
"f:\C\V6\scenario_runner\srunner\scenariomanager\scenarioatomics\atomic_criteria.py", "Python", 1181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 471, 433, 2085
"f:\C\V6\scenario_runner\srunner\scenariomanager\scenarioatomics\atomic_trigger_conditions.py", "Python", 617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 447, 309, 1373
"f:\C\V6\scenario_runner\srunner\scenariomanager\scenarioatomics\test.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 21
"f:\C\V6\scenario_runner\srunner\scenariomanager\tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\C\V6\scenario_runner\srunner\scenariomanager\timer.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 75, 285
"f:\C\V6\scenario_runner\srunner\scenariomanager\traffic_events.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 85
"f:\C\V6\scenario_runner\srunner\scenariomanager\watchdog.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 87
"f:\C\V6\scenario_runner\srunner\scenariomanager\weather_sim.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 29, 167
"f:\C\V6\scenario_runner\srunner\scenarios\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\scenarios\background_activity.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 94
"f:\C\V6\scenario_runner\srunner\scenarios\basic_scenario.py", "Python", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 60, 319
"f:\C\V6\scenario_runner\srunner\scenarios\change_lane.py", "Python", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 32, 182
"f:\C\V6\scenario_runner\srunner\scenarios\construction_crash_vehicle.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 25, 166
"f:\C\V6\scenario_runner\srunner\scenarios\control_loss.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 27, 199
"f:\C\V6\scenario_runner\srunner\scenarios\cut_in.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 34, 159
"f:\C\V6\scenario_runner\srunner\scenarios\follow_leading_vehicle.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 54, 326
"f:\C\V6\scenario_runner\srunner\scenarios\freeride.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 69
"f:\C\V6\scenario_runner\srunner\scenarios\junction_crossing_route.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 41, 204
"f:\C\V6\scenario_runner\srunner\scenarios\maneuver_opposite_direction.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 26, 173
"f:\C\V6\scenario_runner\srunner\scenarios\master_scenario.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 115
"f:\C\V6\scenario_runner\srunner\scenarios\no_signal_junction_crossing.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 30, 165
"f:\C\V6\scenario_runner\srunner\scenarios\object_crash_intersection.py", "Python", 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 113, 607
"f:\C\V6\scenario_runner\srunner\scenarios\object_crash_vehicle.py", "Python", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 63, 405
"f:\C\V6\scenario_runner\srunner\scenarios\open_scenario.py", "Python", 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 122, 577
"f:\C\V6\scenario_runner\srunner\scenarios\opposite_vehicle_taking_priority.py", "Python", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 45, 228
"f:\C\V6\scenario_runner\srunner\scenarios\other_leading_vehicle.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 27, 152
"f:\C\V6\scenario_runner\srunner\scenarios\route_scenario.py", "Python", 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 109, 517
"f:\C\V6\scenario_runner\srunner\scenarios\signalized_junction_left_turn.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 23, 151
"f:\C\V6\scenario_runner\srunner\scenarios\signalized_junction_right_turn.py", "Python", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 26, 163
"f:\C\V6\scenario_runner\srunner\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\basic_agent.py", "Python", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 51, 302
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\behavior_agent.py", "Python", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 57, 375
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\behavior_types.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 38
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\controller.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 40, 258
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\global_route_planner.py", "Python", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 39, 393
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\navigation\local_planner.py", "Python", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 47, 334
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\agents\tools\misc.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 35, 172
"f:\C\V6\scenario_runner\srunner\tests\carla_mocks\carla.py", "Python", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94, 309
"f:\C\V6\scenario_runner\srunner\tests\test_xosc_load.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 52
"f:\C\V6\scenario_runner\srunner\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\C\V6\scenario_runner\srunner\tools\history.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 95
"f:\C\V6\scenario_runner\srunner\tools\openscenario_parser.py", "Python", 995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 220, 1396
"f:\C\V6\scenario_runner\srunner\tools\py_trees_port.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 18, 138
"f:\C\V6\scenario_runner\srunner\tools\route_manipulation.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 36, 157
"f:\C\V6\scenario_runner\srunner\tools\route_parser.py", "Python", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 55, 326
"f:\C\V6\scenario_runner\srunner\tools\scenario_helper.py", "Python", 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 109, 648
"f:\C\V6\scenario_runner\srunner\tools\scenario_parser.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 125
"f:\C\V6\scenario_runner\srunner\utilities\code_check_and_formatting.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 4, 19
"f:\C\V6\scenario_runner\storyboard.py", "Python", 676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 320, 1123
"f:\C\V6\scenario_runner\temp.xml", "XML", 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 4, 216
"f:\C\V6\scenario_runner\tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\C\V6\scenario_runner\test.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"f:\C\V6\scenario_runner\test2.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 15865, 177, 34, 6830, 15, 1646, 23, 97, 7, 14, 3644, 6973, 6114, 41439
